Total Tasks,Execution Time (s)
1,2.005624
2,1.023190
3,1.216326
4,0.828794
5,0.822508
6,0.652907
7,0.623992
8,0.531255
9,0.530225
10,0.458774
11,0.432036
12,0.381580
13,0.410105
14,0.354580
15,0.335509
16,0.318373
17,0.324218
18,0.290453
19,0.283284
20,0.278450
21,0.248847
22,0.243826
23,0.234587
24,0.244003
25,0.279620
26,0.242673
27,0.256841
28,0.261004
29,0.237937
30,0.215834
31,0.231495
32,0.217583
33,0.193835
34,0.317766
35,0.198236
36,0.242437
37,0.198673
38,0.185561
39,0.225761
40,0.223243
41,0.178772
42,0.190857
43,0.377221
44,0.190004
45,0.166648
46,0.170079
47,0.183050
48,0.168696
