MPI_Processes,Columns,Rows,Execution_Time
1,1000,1000,0.500046
2,1000,2000,0.559388
3,1000,3000,0.961509
4,1000,4000,0.876907
5,1000,5000,1.084897
6,1000,6000,1.041072
7,1000,7000,1.124612
8,1000,8000,1.085556
9,1000,9000,1.216459
10,1000,10000,1.528596
11,1000,11000,1.263994
12,1000,12000,1.178166
13,1000,13000,1.239778
14,1000,14000,1.314039
15,1000,15000,1.266645
16,1000,16000,1.259381
17,1000,17000,1.347836
18,1000,18000,1.729258
19,1000,19000,1.484486
20,1000,20000,1.434909
21,1000,21000,1.384548
22,1000,22000,1.418381
23,1000,23000,1.486617
24,1000,24000,1.451377
25,1000,25000,1.476936
26,1000,26000,1.621988
27,1000,27000,1.853440
28,1000,28000,1.686171
29,1000,29000,1.687775
30,1000,30000,1.767619
31,1000,31000,1.751776
32,1000,32000,1.755066
33,1000,33000,1.810967
34,1000,34000,1.787883
35,1000,35000,1.688155
36,1000,36000,1.691241
37,1000,37000,1.830077
38,1000,38000,1.642487
39,1000,39000,1.818320
40,1000,40000,1.869251
41,1000,41000,1.752656
42,1000,42000,1.964459
43,1000,43000,1.986020
44,1000,44000,2.109463
45,1000,45000,2.014245
46,1000,46000,1.898880
47,1000,47000,1.989764
48,1000,48000,2.000475
