OMP_NUM_THREADS,Cols,Rows,Execution_Time
1,1000,1000,0.532115
2,1000,2000,0.596003
3,1000,3000,0.580193
4,1000,4000,0.593605
5,1000,5000,0.663424
6,1000,6000,0.888266
7,1000,7000,0.671900
8,1000,8000,0.664130
9,1000,9000,0.753119
10,1000,10000,0.773829
11,1000,11000,0.795700
12,1000,12000,0.790463
13,1000,13000,0.904956
14,1000,14000,1.618476
15,1000,15000,0.917676
16,1000,16000,0.967066
17,1000,17000,1.067937
18,1000,18000,1.099032
19,1000,19000,1.227273
20,1000,20000,1.332300
21,1000,21000,0.933998
22,1000,22000,0.977748
23,1000,23000,1.026065
24,1000,24000,1.072540
